,Date,Government Agency,Fund,Contractor,Procurement Method,Jamaican Equivalent,Funding Agency
4058,2006-12-20,Port Authority of Jamaica,GOJ,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION (SAIC),SURREY PAVING & AGGREGATE CO. LTD,1181725.46,GOJ Funding
4059,2006-12-20,Port Authority of Jamaica,GOJ,COMPUTEC SYSTEMS CORPORATION,SURREY PAVING & AGGREGATE CO. LTD,30391974.92,GOJ Funding
4060,2006-12-20,Port Authority of Jamaica,GOJ,SHANGHAI ZHENHUA PORT MACHINERY COMPANY LIMITED,SURREY PAVING & AGGREGATE CO. LTD,519405000.0,GOJ Funding
4061,2006-12-20,National Works Agency,GOJ,DWIGHT'S CONSTRUCTION LTD.,SURREY PAVING & AGGREGATE CO. LTD,7213735.17,GOJ Funding
4062,2006-12-20,Ministry of Foreign Affairs and Foreign Trade,GOJ,STEWART'S AUTO SALES LIMITED,SURREY PAVING & AGGREGATE CO. LTD,56566497.0,GOJ Funding
4063,2006-12-20,Port Authority of Jamaica,GOJ,E PIHL & SONS A.S.,SURREY PAVING & AGGREGATE CO. LTD,375226700.0,GOJ Funding
4064,2006-12-20,National Housing Trust,GOJ,STATIONERY & OFFICE SUPPLIES LIMITED,SURREY PAVING & AGGREGATE CO. LTD,7909544.58,GOJ Funding
4065,2006-12-20,National Water Commission,GOJ,KINGSTON INDUSTRIAL GARAGE,SURREY PAVING & AGGREGATE CO. LTD,16500000.0,GOJ Funding
4066,2006-12-20,National Works Agency,GOJ,SURREY PAVING & AGGREGATE CO. LTD,SURREY PAVING & AGGREGATE CO. LTD,57347750.0,GOJ Funding
4067,2006-12-20,National Works Agency,GOJ,SURREY PAVING & AGGREGATE CO. LTD,SURREY PAVING & AGGREGATE CO. LTD,22925850.76,GOJ Funding
4068,2006-12-13,Factories Corporation of Jamaica Ltd.,GOJ,OMNI SERVICE CO LTD,SURREY PAVING & AGGREGATE CO. LTD,143332.28,GOJ Funding
4069,2006-12-13,Factories Corporation of Jamaica Ltd.,GOJ,APPLIANCE TRADERS LIMITED,SURREY PAVING & AGGREGATE CO. LTD,1640428.45,GOJ Funding
4070,2006-12-13,National Housing Trust,GOJ,ALLEN & OVERY,SURREY PAVING & AGGREGATE CO. LTD,20106000.0,GOJ Funding
4071,2006-12-13,National Housing Trust,GOJ,STANDARD NEW YORK SECURITIES CORP,SURREY PAVING & AGGREGATE CO. LTD,110583000.0,GOJ Funding
4072,2006-12-13,Ministry of Finance and Planning,GOJ,COOL PETROLEUM LIMITED,SURREY PAVING & AGGREGATE CO. LTD,993027900.0,GOJ Funding
4073,2006-12-13,Financial Services Commission,GOJ,PRICE WATERHOUSE COOPERS (PWC),SURREY PAVING & AGGREGATE CO. LTD,37531200.0,GOJ Funding
4074,2006-12-13,National Housing Trust,GOJ,CENTRAL SUPPLIES & CONSTRUCTION,SURREY PAVING & AGGREGATE CO. LTD,13517001.69,GOJ Funding
4075,2006-12-13,Transport Authority,GOJ,APEC CONSULTANTS,SURREY PAVING & AGGREGATE CO. LTD,5638600.0,GOJ Funding
4076,2006-12-13,Ministry of Health,GOJ,CONSUMABLES DIRECT SALES LIMITED,SURREY PAVING & AGGREGATE CO. LTD,243538823.5,GOJ Funding
4077,2006-12-13,Ministry of Justice,GOJ,A1 CONSTRUCTION COMPANY LIMITED,SURREY PAVING & AGGREGATE CO. LTD,10216104.8,GOJ Funding
4078,2006-12-13,National Housing Trust,GOJ,CENTRAL SUPPLIES & CONSTRUCTION,SURREY PAVING & AGGREGATE CO. LTD,6519600.0,GOJ Funding
4079,2006-12-13,National Housing Trust,GOJ,LATMAR ENTERPRISE LIMITED,SURREY PAVING & AGGREGATE CO. LTD,6435202.32,GOJ Funding
4080,2006-12-06,Ministry of Health,GOJ,FENCING ASSOCIATES LTD.,SURREY PAVING & AGGREGATE CO. LTD,21936170.0,GOJ Funding
4081,2006-11-29,Petrojam Limited,GOJ,BENTHOM CONSTRUCTION COMPANY LTD.,SURREY PAVING & AGGREGATE CO. LTD,9253435.2,GOJ Funding
4082,2006-11-29,Public Sector Reform Unit,GOJ,PUBLIC ADMINISTRATION INT LTD,SURREY PAVING & AGGREGATE CO. LTD,8518713.84,GOJ Funding
4083,2006-11-29,Ministry of Health,GOJ,AREL LTD.,SURREY PAVING & AGGREGATE CO. LTD,213658954.5,GOJ Funding
4084,2006-11-29,Ministry of Health,GOJ,CONSUMABLES DIRECT SALES LIMITED,SURREY PAVING & AGGREGATE CO. LTD,91727026.56,GOJ Funding
4085,2006-11-29,National Works Agency,GOJ,SURREY PAVING & AGGREGATE CO. LTD,SURREY PAVING & AGGREGATE CO. LTD,103813000.6,GOJ Funding
4086,2006-11-22,Ministry of Education and Youth,GOJ,T. GEDDES GRANT (DISTRIBUTORS) LTD.,SURREY PAVING & AGGREGATE CO. LTD,21375000.0,GOJ Funding
4087,2006-11-22,Ministry of Education and Youth,GOJ,T. GEDDES GRANT (DISTRIBUTORS) LTD.,SURREY PAVING & AGGREGATE CO. LTD,3100000.0,GOJ Funding
4088,2006-11-22,Ministry of Education and Youth,GOJ,GRACE KENNEDY & COMPANY LIMITED,SURREY PAVING & AGGREGATE CO. LTD,5680000.0,GOJ Funding
4089,2006-11-22,Ministry of Education and Youth,GOJ,SEPROD LIMITED,SURREY PAVING & AGGREGATE CO. LTD,3560000.0,GOJ Funding
4090,2006-11-22,Ministry of Education and Youth,GOJ,SEPROD LIMITED,SURREY PAVING & AGGREGATE CO. LTD,4320000.0,GOJ Funding
4091,2006-11-22,Ministry of Education and Youth,GOJ,SEPROD LIMITED,SURREY PAVING & AGGREGATE CO. LTD,6106000.0,GOJ Funding
4092,2006-11-22,Ministry of Education and Youth,GOJ,BETA MILK COMPANY LIMITED,SURREY PAVING & AGGREGATE CO. LTD,34492000.0,GOJ Funding
4093,2006-11-22,Human Employment and Resource Training/HEART Trust,GOJ,DELL WORLD TRADE CORPORATION,SURREY PAVING & AGGREGATE CO. LTD,12370828.28,GOJ Funding
4094,2006-11-22,Ministry of National Security,GOJ,DONALDSON'S ENGINEERING LIMITED,SURREY PAVING & AGGREGATE CO. LTD,9716578.79,GOJ Funding
4095,2006-11-15,National Housing Trust,GOJ,KNOWLEDGE GENUS CORPORATION,SURREY PAVING & AGGREGATE CO. LTD,18656127.36,GOJ Funding
4096,2006-11-15,Ministry of National Security,GOJ,MOTOR BIKE SALES AND SERVICES LIMITED,SURREY PAVING & AGGREGATE CO. LTD,19151342.36,GOJ Funding
4097,2006-11-15,Ministry of Education and Youth,GOJ,RICARDO CHIN PRODUCTION SERVICES,SURREY PAVING & AGGREGATE CO. LTD,8157817.4,GOJ Funding
4098,2006-11-15,National Works Agency,GOJ,M & M JAMAICA LTD.,SURREY PAVING & AGGREGATE CO. LTD,63031541.0,GOJ Funding
4099,2006-11-15,National Works Agency,GOJ,M & M JAMAICA LTD.,SURREY PAVING & AGGREGATE CO. LTD,57593479.0,GOJ Funding
4100,2006-11-15,Ministry of National Security,GOJ,GARAN-TEE CONSTRUCTION CO. LTD,SURREY PAVING & AGGREGATE CO. LTD,37548467.2,GOJ Funding
4101,2006-11-15,Ministry of Agriculture and Lands,GOJ,JAMAICA DRIP IRRIGATION LIMITED,SURREY PAVING & AGGREGATE CO. LTD,4989877.26,GOJ Funding
4102,2006-11-15,Port Authority of Jamaica,GOJ,SCIENCE APPLICATIONS INTERNATIONAL,SURREY PAVING & AGGREGATE CO. LTD,66690000.0,GOJ Funding
4103,2006-11-15,Ministry of National Security,GOJ,GARAN-TEE CONSTRUCTION CO. LTD,SURREY PAVING & AGGREGATE CO. LTD,32548467.2,GOJ Funding
4104,2006-11-08,Ministry of Education and Youth,GOJ,WAMEX CONSTRUCTION SERVICES,SURREY PAVING & AGGREGATE CO. LTD,5438641.0,GOJ Funding
4105,2006-11-08,Port Authority of Jamaica,GOJ,KINGSTON WHARVES LTD,SURREY PAVING & AGGREGATE CO. LTD,33315463.0,GOJ Funding
4106,2006-11-08,Ministry of National Security,GOJ,TOYOTA JAMAICA LIMITED,SURREY PAVING & AGGREGATE CO. LTD,23839030.2,GOJ Funding
4107,2006-11-08,Ministry of National Security,GOJ,CHALLENGER TRANSPORT COMPANY LIMITED,SURREY PAVING & AGGREGATE CO. LTD,4290000.0,GOJ Funding
4108,2006-11-08,Ministry of National Security,GOJ,TOYOTA JAMAICA LIMITED,SURREY PAVING & AGGREGATE CO. LTD,5600000.0,GOJ Funding
4109,2006-11-08,Ministry of Education and Youth,GOJ,FIDELITY MOTORS LIMITED,SURREY PAVING & AGGREGATE CO. LTD,6578000.0,GOJ Funding
4110,2006-11-08,Ministry of Education and Youth,GOJ,GLADSTONE M. FISHER,SURREY PAVING & AGGREGATE CO. LTD,10403640.0,GOJ Funding
4111,2006-11-08,Ministry of Education and Youth,GOJ,AFFORDABLE ENGINEERING & BUILDING CONSTRUCTION,SURREY PAVING & AGGREGATE CO. LTD,5019793.2,GOJ Funding
4112,2006-11-08,Ministry of Education and Youth,GOJ,S. GREEN & ASSOCIATES COMPANY LIMITED,SURREY PAVING & AGGREGATE CO. LTD,6245135.0,GOJ Funding
4113,2006-11-08,Jamaica Social Investment Fund,GOJ,LEWIN'S HARDWARE LIMITED,SURREY PAVING & AGGREGATE CO. LTD,8557986.98,GOJ Funding
4114,2006-11-08,Ministry of Justice,GOJ,COMFORTAIR ENGINEERING LIMITED,SURREY PAVING & AGGREGATE CO. LTD,16431193.93,GOJ Funding
4115,2006-11-08,Jamaica Social Investment Fund,GOJ,A-Z INFORMATION JAMAICA LTD,SURREY PAVING & AGGREGATE CO. LTD,7483000.0,GOJ Funding
4116,2006-11-08,Human Employment and Resource Training/HEART Trust,GOJ,INFOSERV LEARNING MANAGEMENT SYSTEMS LIMITED,SURREY PAVING & AGGREGATE CO. LTD,11725300.0,GOJ Funding
4117,2006-11-08,Ministry of Education and Youth,GOJ,KSA ENGINEERING CONSULTANTS LTD,SURREY PAVING & AGGREGATE CO. LTD,18019580.34,GOJ Funding
4118,2006-11-08,Jamaica Social Investment Fund,GOJ,SWC WOODWORK CONSTRUCTION LIMITED,SURREY PAVING & AGGREGATE CO. LTD,12662334.9,GOJ Funding
4119,2006-11-01,National Works Agency,GOJ,BUILD RITE CONSTRUCTION CO.LTD.,SURREY PAVING & AGGREGATE CO. LTD,77174163.36,GOJ Funding
4120,2006-11-01,Regional Health Authorities,GOJ,SECURICOR JAMAICA LIMITED,SURREY PAVING & AGGREGATE CO. LTD,53460000.0,GOJ Funding
4121,2006-11-01,Ministry of Health,GOJ,TANKWELD LTD.,SURREY PAVING & AGGREGATE CO. LTD,136131657.0,GOJ Funding
4122,2006-11-01,Ministry of Local Government and Environment,GOJ,GARAN-TEE CONSTRUCTION CO. LTD,SURREY PAVING & AGGREGATE CO. LTD,1765970.0,GOJ Funding
4123,2006-11-01,Public Sector Reform Unit,GOJ,INFOTECH CARIBBEAN JAMAICA LIMITED,SURREY PAVING & AGGREGATE CO. LTD,4686685.07,GOJ Funding
4124,2006-11-01,Jamaica Fire Brigade,GOJ,VEHICLES & SUPPLIES (INDUSTRIAL DIVISION) LIMITED,SURREY PAVING & AGGREGATE CO. LTD,8372262.6,GOJ Funding
4125,2006-11-01,Ministry of Health,GOJ,HETERO DRUGS LTD,SURREY PAVING & AGGREGATE CO. LTD,21774385.04,GOJ Funding
4126,2006-11-01,Ministry of National Security,GOJ,APEC CONSULTANTS,SURREY PAVING & AGGREGATE CO. LTD,10000000.0,GOJ Funding
4127,2006-11-01,Regional Health Authorities,GOJ,JAMAICA ELECTRICAL & MECHANICAL ENGINEERS LTD.,SURREY PAVING & AGGREGATE CO. LTD,48228366.0,GOJ Funding
4128,2006-11-01,National Works Agency,GOJ,BUILD RITE CONSTRUCTION CO.LTD.,SURREY PAVING & AGGREGATE CO. LTD,51098408.24,GOJ Funding
4129,2006-11-01,National Works Agency,GOJ,CONSTRUCTION SOLUTIONS LTD.,SURREY PAVING & AGGREGATE CO. LTD,82868938.12,GOJ Funding
4130,2006-11-01,National Works Agency,GOJ,ALCAR CONSTRUCTION & HAULAGE CO. LTD.,SURREY PAVING & AGGREGATE CO. LTD,52657293.32,GOJ Funding
4131,2006-11-01,National Works Agency,GOJ,DWIGHT'S CONSTRUCTION LTD.,SURREY PAVING & AGGREGATE CO. LTD,81539176.98,GOJ Funding
4132,2006-11-01,National Works Agency,GOJ,CONSTRUCTION SOLUTIONS LTD.,SURREY PAVING & AGGREGATE CO. LTD,59953531.17,GOJ Funding
4133,2006-10-25,National Water Commission,GOJ,SUN ISLAND JAMAICA LIMITED,SURREY PAVING & AGGREGATE CO. LTD,110522.22,GOJ Funding
4134,2006-10-25,National Water Commission,GOJ,L.P. AZAR LIMITED,SURREY PAVING & AGGREGATE CO. LTD,183849.0,GOJ Funding
4135,2006-10-25,National Water Commission,GOJ,FABRIC CONSULTANTS LIMITED,SURREY PAVING & AGGREGATE CO. LTD,1655497.7,GOJ Funding
4136,2006-10-25,National Water Commission,GOJ,CAROMAX ENTERPRISES LIMITED,SURREY PAVING & AGGREGATE CO. LTD,2735275.2,GOJ Funding
4137,2006-10-25,Factories Corporation of Jamaica Ltd.,GOJ,MARATHON INSURANCE BROKERS LIMITED,SURREY PAVING & AGGREGATE CO. LTD,53683387.0,GOJ Funding
4138,2006-10-25,National Housing Trust,GOJ,NEVILLE A. MILLS & ASSOC. LTD.,SURREY PAVING & AGGREGATE CO. LTD,9375000.0,GOJ Funding
4139,2006-10-25,National Works Agency,GOJ,SURREY PAVING & AGGREGATE CO. LTD,SURREY PAVING & AGGREGATE CO. LTD,12719865.21,GOJ Funding
4140,2006-10-25,National Works Agency,GOJ,3M INTERAMERICA INC.,SURREY PAVING & AGGREGATE CO. LTD,4397300.0,GOJ Funding
4141,2006-10-25,National Works Agency,GOJ,GENERAL PAVING COMPANY LTD.,SURREY PAVING & AGGREGATE CO. LTD,30972213.75,GOJ Funding
4142,2006-10-18,Rural Water Supply Company,GOJ,FREDRICK RODRIQUES & ASSOCIATES LTD.,SURREY PAVING & AGGREGATE CO. LTD,29722825.0,GOJ Funding
4143,2006-10-18,Rural Water Supply Company,GOJ,FREDRICK RODRIQUES & ASSOCIATES LTD.,SURREY PAVING & AGGREGATE CO. LTD,33374572.0,GOJ Funding
4144,2006-10-18,National Housing Trust,GOJ,ALFRASURE STRUCTURES & ROOFING,SURREY PAVING & AGGREGATE CO. LTD,9545000.0,GOJ Funding
4145,2006-10-18,National Housing Trust,GOJ,WARREN WESTON LIMITED,SURREY PAVING & AGGREGATE CO. LTD,4900000.0,GOJ Funding
4146,2006-10-18,Ministry of Education and Youth,GOJ,RICAM CONSTRUCTION,SURREY PAVING & AGGREGATE CO. LTD,10453630.7,GOJ Funding
4147,2006-10-18,National Water Commission,GOJ,HOOD - DANIEL WELL COMPANY LIMITED,SURREY PAVING & AGGREGATE CO. LTD,10568923.75,GOJ Funding
4148,2006-10-18,Rural Water Supply Company,GOJ,NEVILLE DIARAM,SURREY PAVING & AGGREGATE CO. LTD,6448970.0,GOJ Funding
4149,2006-10-18,Jamaica Social Investment Fund,GOJ,W. A. REID CONSTRUCTION CO. LTD.,SURREY PAVING & AGGREGATE CO. LTD,12420572.0,GOJ Funding
4150,2006-10-18,Regional Health Authorities,GOJ,EAGLE CONSTRUCTION LIMITED,SURREY PAVING & AGGREGATE CO. LTD,8618101.0,GOJ Funding
4151,2006-10-18,National Works Agency,GOJ,CONSTRUCTION SOLUTIONS LTD.,SURREY PAVING & AGGREGATE CO. LTD,4874153.57,GOJ Funding
4152,2006-10-18,Statistical Institute of Jamaica,GOJ,IBM WORLD TRADE CORPORATION,SURREY PAVING & AGGREGATE CO. LTD,58300000.0,GOJ Funding
4153,2006-10-18,Ministry of Education and Youth,GOJ,FUJITSU TRANSACTION SOLUTIONS (JA.) LIMITED,SURREY PAVING & AGGREGATE CO. LTD,13397290.31,GOJ Funding
4154,2006-10-18,Jamaica Social Investment Fund,GOJ,SEALAND ELECTRICAL SALES & SERVICES CO. LTD,SURREY PAVING & AGGREGATE CO. LTD,8532560.0,GOJ Funding
4155,2006-10-18,Jamaica Social Investment Fund,GOJ,CONTRAX ENTERPRISE LIMITED,SURREY PAVING & AGGREGATE CO. LTD,23582017.0,GOJ Funding
4156,2006-10-11,Ministry of Education and Youth,GOJ,PRISM COMMUNICATIONS LIMITED,SURREY PAVING & AGGREGATE CO. LTD,30000000.0,GOJ Funding
4157,2006-10-11,Petroleum Corporation of Jamaica,GOJ,LATHAM & WATKINS,SURREY PAVING & AGGREGATE CO. LTD,61943750.0,GOJ Funding
4158,2006-10-11,Jamaica Fire Brigade,GOJ,NATIONAL SAFETY LIMITED,SURREY PAVING & AGGREGATE CO. LTD,63609972.4,GOJ Funding
4159,2006-10-11,Planning Institute of Jamaica,GOJ,FOCAL POINT CONSULTING LIMITED,SURREY PAVING & AGGREGATE CO. LTD,6092100.0,GOJ Funding
4160,2006-10-11,Jamaica Social Investment Fund,GOJ,DISPUTE RESOLUTION FOUNDATION,SURREY PAVING & AGGREGATE CO. LTD,12978437.44,GOJ Funding
4161,2006-10-11,Ministry of Education and Youth,GOJ,JANET BROWN,SURREY PAVING & AGGREGATE CO. LTD,4792500.0,GOJ Funding
4162,2006-10-11,Ministry of Health,GOJ,ASPHALTIC CONCRETE ENTERPRISE LIMITED,SURREY PAVING & AGGREGATE CO. LTD,34306605.0,GOJ Funding
4163,2006-10-11,Ministry of Health,GOJ,E & W CONSTRUCTION,SURREY PAVING & AGGREGATE CO. LTD,7889165.0,GOJ Funding
4164,2006-10-11,Ministry of Health,GOJ,D. T. BROWN CONSTRUCTION LTD.,SURREY PAVING & AGGREGATE CO. LTD,71624923.64,GOJ Funding
4165,2006-10-11,"University of Technology, Jamaica",GOJ,CAROMAX ENTERPRISES LIMITED,SURREY PAVING & AGGREGATE CO. LTD,4939535.0,GOJ Funding
4166,2006-10-11,National Works Agency,GOJ,SURREY PAVING & AGGREGATE CO. LTD,SURREY PAVING & AGGREGATE CO. LTD,7264551.2,GOJ Funding
4167,2006-10-11,National Works Agency,GOJ,ALCAR CONSTRUCTION & HAULAGE CO. LTD.,SURREY PAVING & AGGREGATE CO. LTD,11631900.0,GOJ Funding
4168,2006-10-11,National Works Agency,GOJ,QUALITY ENGINEERING & CONSTRUCTION LTD.,SURREY PAVING & AGGREGATE CO. LTD,19854750.0,GOJ Funding
4169,2006-10-11,National Works Agency,GOJ,SANJON ASPHALTING CO. LIMITED,SURREY PAVING & AGGREGATE CO. LTD,12645196.89,GOJ Funding
4170,2006-10-11,Ministry of Health,GOJ,G.M. & ASSOCIATES LTD.,SURREY PAVING & AGGREGATE CO. LTD,43145939.1,GOJ Funding
4171,2006-10-04,National Works Agency,GOJ,ALCAR CONSTRUCTION & HAULAGE CO. LTD.,SURREY PAVING & AGGREGATE CO. LTD,5179600.0,GOJ Funding
4172,2006-10-04,National Works Agency,GOJ,DWIGHT'S CONSTRUCTION LTD.,SURREY PAVING & AGGREGATE CO. LTD,9886400.0,GOJ Funding
4173,2006-10-04,National Works Agency,GOJ,L & K CONSTRUCTION COMPANY LIMITED,SURREY PAVING & AGGREGATE CO. LTD,7762350.0,GOJ Funding
4174,2006-10-04,Nutrition Products Ltd,GOJ,KD MACHINERY LIMITED,SURREY PAVING & AGGREGATE CO. LTD,7910559.43,GOJ Funding
4175,2006-10-04,"Culture, Health, Arts, Sports",GOJ,BELLROCK CONSTRUCTION COMPANY,SURREY PAVING & AGGREGATE CO. LTD,11236717.0,GOJ Funding
4176,2006-10-04,University of the West Indies,GOJ,J A FLESHNER CO,SURREY PAVING & AGGREGATE CO. LTD,3166750.0,GOJ Funding
4177,2006-10-04,Ministry of Local Government and Environment,GOJ,ST,SURREY PAVING & AGGREGATE CO. LTD,2000000.0,GOJ Funding
4178,2006-10-04,National Water Commission,GOJ,JAMAICA INDUSTRIAL EQUIPMENT COMPANY LIMITED,SURREY PAVING & AGGREGATE CO. LTD,5940000.0,GOJ Funding
4179,2006-10-04,National Water Commission,GOJ,D.BISASOR & ASSOCIATES LTD,SURREY PAVING & AGGREGATE CO. LTD,29448758.46,GOJ Funding
4180,2006-10-04,National Works Agency,GOJ,DWIGHT'S CONSTRUCTION LTD.,SURREY PAVING & AGGREGATE CO. LTD,13927300.0,GOJ Funding
4181,2006-10-04,National Works Agency,GOJ,SURREY PAVING & AGGREGATE CO. LTD,SURREY PAVING & AGGREGATE CO. LTD,14372700.0,GOJ Funding
4182,2006-10-04,Ministry of Health,GOJ,LASCO DISTRIBUTORS LIMITED,SURREY PAVING & AGGREGATE CO. LTD,7181632.5,GOJ Funding
4183,2006-10-04,Ministry of Health,GOJ,GILEAD,SURREY PAVING & AGGREGATE CO. LTD,22442380.95,GOJ Funding
4184,2006-10-04,National Works Agency,GOJ,ABBOTT LABORATORIES,SURREY PAVING & AGGREGATE CO. LTD,30225601.88,GOJ Funding
4185,2006-10-04,Ministry of Health,GOJ,MEDI-GRACE LIMITED,SURREY PAVING & AGGREGATE CO. LTD,38912467.5,GOJ Funding
4186,2006-10-04,National Works Agency,GOJ,QUALITY ENGINEERING & CONSTRUCTION LTD.,SURREY PAVING & AGGREGATE CO. LTD,11241000.0,GOJ Funding
4187,2006-10-04,Ministry of National Security,GOJ,STEWART'S AUTO SALES LIMITED,SURREY PAVING & AGGREGATE CO. LTD,19383977.95,GOJ Funding
4188,2006-10-04,Ministry of National Security,GOJ,TOYOTA JAMAICA LIMITED,SURREY PAVING & AGGREGATE CO. LTD,92583406.65,GOJ Funding
4189,2006-10-04,National Works Agency,GOJ,CHIN'S CONSTRUCTION LTD.,SURREY PAVING & AGGREGATE CO. LTD,12642800.0,GOJ Funding
4190,2006-09-27,National Works Agency,GOJ,B.F. PAVEMENT AND CONSULTANT LTD.,SURREY PAVING & AGGREGATE CO. LTD,11733320.0,GOJ Funding
4191,2006-09-27,National Works Agency,GOJ,QUALITY ENGINEERING & CONSTRUCTION LTD.,SURREY PAVING & AGGREGATE CO. LTD,10965650.0,GOJ Funding
4192,2006-09-27,National Works Agency,GOJ,HYDAV CONSTRUCTION COMPANY LIMITED,SURREY PAVING & AGGREGATE CO. LTD,13315694.64,GOJ Funding
4193,2006-09-27,National Works Agency,GOJ,HYDAV CONSTRUCTION COMPANY LIMITED,SURREY PAVING & AGGREGATE CO. LTD,10818300.0,GOJ Funding
4194,2006-09-27,National Works Agency,GOJ,QUALITY ENGINEERING & CONSTRUCTION LTD.,SURREY PAVING & AGGREGATE CO. LTD,4376200.0,GOJ Funding
4195,2006-09-27,National Works Agency,GOJ,SEALAND ELECTRICAL SALES & SERVICES CO. LTD,SURREY PAVING & AGGREGATE CO. LTD,5127040.0,GOJ Funding
4196,2006-09-27,National Works Agency,GOJ,DONALDSON ENTERPRISES LIMITED,SURREY PAVING & AGGREGATE CO. LTD,9861400.0,GOJ Funding
4197,2006-09-27,National Works Agency,GOJ,CHIN'S CONSTRUCTION LTD.,SURREY PAVING & AGGREGATE CO. LTD,12408400.0,GOJ Funding
4198,2006-09-27,National Works Agency,GOJ,SEEMATT CONSTRUCTION CO. LTD.,SURREY PAVING & AGGREGATE CO. LTD,9697900.0,GOJ Funding
4199,2006-09-27,National Housing Trust,GOJ,LEWIN'S HARDWARE LIMITED,SURREY PAVING & AGGREGATE CO. LTD,10668313.0,GOJ Funding
4200,2006-09-27,Airports Authority of Jamaica,GOJ,KIER CONSTRUCTION LIMITED,SURREY PAVING & AGGREGATE CO. LTD,129207810.0,GOJ Funding
4201,2006-09-27,National Road Operating & Constructing Company (NR,GOJ,BOUYGUES TRAVAUX PUBLIC,SURREY PAVING & AGGREGATE CO. LTD,101680067.9,GOJ Funding
4202,2006-09-20,National Works Agency,GOJ,PATRICK E. THOMPSON LTD.,SURREY PAVING & AGGREGATE CO. LTD,6112840.0,GOJ Funding
4203,2006-09-20,Ministry of Local Government & Environment,GOJ,PATRICK E. THOMPSON LTD.,SURREY PAVING & AGGREGATE CO. LTD,7321800.0,GOJ Funding
4204,2006-09-20,National Works Agency,GOJ,DWIGHT'S CONSTRUCTION LTD.,SURREY PAVING & AGGREGATE CO. LTD,19223820.0,GOJ Funding
4205,2006-09-20,National Works Agency,GOJ,SURREY PAVING & AGGREGATE CO. LTD,SURREY PAVING & AGGREGATE CO. LTD,30104824.05,GOJ Funding
4206,2006-09-20,National Works Agency,GOJ,DWIGHT'S CONSTRUCTION LTD.,SURREY PAVING & AGGREGATE CO. LTD,12017232.99,GOJ Funding
4207,2006-09-20,National Works Agency,GOJ,DWIGHT'S CONSTRUCTION LTD.,SURREY PAVING & AGGREGATE CO. LTD,9531134.54,GOJ Funding
4208,2006-09-20,Civil Aviation Authority,GOJ,UBITECH,SURREY PAVING & AGGREGATE CO. LTD,53221198.96,GOJ Funding
4209,2006-09-20,Civil Aviation Authority,GOJ,NATIONAL PROPERTY & GENERAL INSURANCE BROKERS LIMI,SURREY PAVING & AGGREGATE CO. LTD,17134389.0,GOJ Funding
4210,2006-09-20,National Works Agency,GOJ,SANJON ASPHALTING CO. LIMITED,SURREY PAVING & AGGREGATE CO. LTD,14671288.3,GOJ Funding
4211,2006-09-20,National Works Agency,GOJ,D. R. FOOTE CONSTRUCTION CO. LTD.,SURREY PAVING & AGGREGATE CO. LTD,14906776.41,GOJ Funding
4212,2006-09-20,Ministry of Agriculture & Lands,GOJ,TECNOAZUCAR,SURREY PAVING & AGGREGATE CO. LTD,15528234.92,GOJ Funding
4213,2006-09-13,Port Authority of Jamaica,GOJ,BOUYGUES TRAVAUX PUBLIC,SURREY PAVING & AGGREGATE CO. LTD,9845614.64,GOJ Funding
4214,2006-09-13,National Works Agency,GOJ,SURREY PAVING & AGGREGATE CO. LTD,SURREY PAVING & AGGREGATE CO. LTD,13024800.0,GOJ Funding
4215,2006-09-13,National Works Agency,GOJ,DWIGHT'S CONSTRUCTION LTD.,SURREY PAVING & AGGREGATE CO. LTD,32406900.0,GOJ Funding
4216,2006-09-13,National Works Agency,GOJ,HYDAV CONSTRUCTION COMPANY LIMITED,SURREY PAVING & AGGREGATE CO. LTD,13857730.0,GOJ Funding
4217,2006-09-13,National Works Agency,GOJ,S. GREEN & ASSOCIATES COMPANY LIMITED,SURREY PAVING & AGGREGATE CO. LTD,8665000.0,GOJ Funding
4218,2006-09-13,National Works Agency,GOJ,CHIN'S CONSTRUCTION LTD.,SURREY PAVING & AGGREGATE CO. LTD,12744000.0,GOJ Funding
4219,2006-09-13,National Housing Trust,GOJ,THE GLEANER COMPANY LIMITED,SURREY PAVING & AGGREGATE CO. LTD,15000000.0,GOJ Funding
4220,2006-09-13,National Housing Trust,GOJ,JAMAICA OBSERVER LIMITED,SURREY PAVING & AGGREGATE CO. LTD,6999999.0,GOJ Funding
4221,2006-09-13,National Housing Trust,GOJ,J. H. DUNSTAN & ASSOCIATES,SURREY PAVING & AGGREGATE CO. LTD,102695922.0,GOJ Funding
4222,2006-09-13,Sugar Industry Authority,GOJ,SEAN D. CONSTRUCTION CO. LTD.,SURREY PAVING & AGGREGATE CO. LTD,5850200.0,GOJ Funding
4223,2006-09-13,Jamaica Constabulary Force,GOJ,ARMOR EXPRESS,SURREY PAVING & AGGREGATE CO. LTD,72160065.0,GOJ Funding
4224,2006-09-13,Jamaica Constabulary Force,GOJ,L.P. AZAR LIMITED,SURREY PAVING & AGGREGATE CO. LTD,3299500.0,GOJ Funding
4225,2006-09-13,Jamaica Constabulary Force,GOJ,J & J DABDOUB LIMITED,SURREY PAVING & AGGREGATE CO. LTD,18708165.0,GOJ Funding
4226,2006-09-13,Jamaica Constabulary Force,GOJ,TAN-MARJ INVESTMENTS LIMITED,SURREY PAVING & AGGREGATE CO. LTD,13329980.0,GOJ Funding
